Average frame time: 0.015815230921516227
         1141685 function calls (1127177 primitive calls) in 46.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12480   13.267    0.001   13.267    0.001 {method 'acquire' of '_thread.lock' objects}
     5612    4.696    0.001    4.696    0.001 {copyMakeBorder}
     5612    4.569    0.001    4.569    0.001 {dilate}
     5612    4.262    0.001    4.262    0.001 {erode}
     2806    3.890    0.001    3.890    0.001 {inRange}
     2806    3.205    0.001    3.205    0.001 {resize}
     2806    3.063    0.001    3.063    0.001 {cvtColor}
     2806    1.780    0.001    1.780    0.001 {findContours}
        1    1.485    1.485   44.384   44.384 main.py:37(main)
        1    1.000    1.000    1.000    1.000 {built-in method time.sleep}
     2806    0.955    0.000    0.955    0.000 {bitwise_not}
     2806    0.902    0.000   21.620    0.008 bounding_box.py:25(get_bbox)
    38072    0.485    0.000    0.586    0.000 meat.py:30(step)
    14609    0.379    0.000    0.379    0.000 {moments}
    14609    0.357    0.000    0.357    0.000 {minAreaRect}
8955/8783    0.229    0.000    0.233    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2806    0.210    0.000    2.820    0.001 bounding_box.py:74(thresh_callback)
     3070    0.141    0.000    0.141    0.000 {built-in method nt.stat}
  142/141    0.137    0.001    0.139    0.001 {built-in method _imp.create_dynamic}
     2806    0.132    0.000   17.899    0.006 bounding_box.py:35(gen_mask)
        1    0.114    0.114    0.114    0.114 video_reader.py:18(__init__)
    38758    0.103    0.000    0.103    0.000 {built-in method numpy.array}
      687    0.083    0.000    0.083    0.000 {built-in method marshal.loads}
    14609    0.083    0.000    0.083    0.000 {boxPoints}
    19668    0.045    0.000    0.045    0.000 {built-in method builtins.round}
      689    0.044    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     2806    0.044    0.000   12.389    0.004 queue.py:153(get)
      689    0.036    0.000    0.036    0.000 {method 'read' of '_io.FileIO' objects}
     8437    0.034    0.000    0.034    0.000 {built-in method numpy.empty}
     2572    0.027    0.000    0.044    0.000 inspect.py:613(cleandoc)
     8422    0.027    0.000    0.313    0.000 numeric.py:159(ones)
     2418    0.023    0.000   13.316    0.006 threading.py:264(wait)
   1267/1    0.022    0.000   46.519   46.519 {built-in method builtins.exec}
     2806    0.022    0.000    3.239    0.001 bounding_box.py:14(scale)
1571/1480    0.022    0.000    0.071    0.000 {built-in method builtins.__build_class__}
