End of video
         744240 function calls (741544 primitive calls) in 53.911 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5612    6.958    0.001    6.958    0.001 {erode}
     5612    6.647    0.001    6.647    0.001 {dilate}
     5612    5.675    0.001    5.675    0.001 {copyMakeBorder}
     2806    5.028    0.002    5.028    0.002 {Canny}
     2806    4.776    0.002    4.776    0.002 {inRange}
        1    4.552    4.552   52.550   52.550 main.py:26(main)
     2806    3.938    0.001    3.938    0.001 {resize}
     2806    3.744    0.001    3.744    0.001 {cvtColor}
     2806    2.801    0.001    2.801    0.001 {findContours}
     2806    1.890    0.001   27.373    0.010 bbox.py:30(gen_mask)
     2806    1.546    0.001   37.777    0.013 bbox.py:20(get_bbox)
     2806    1.422    0.001    1.422    0.001 {bitwise_not}
        1    1.000    1.000    1.000    1.000 {built-in method time.sleep}
    38083    0.808    0.000    0.900    0.000 meat.py:36(step)
    34024    0.559    0.000    0.559    0.000 {convexHull}
     2806    0.462    0.000    0.462    0.000 {built-in method builtins.print}
     2806    0.219    0.000    8.858    0.003 bbox.py:69(thresh_callback)
    34598    0.126    0.000    0.126    0.000 {built-in method builtins.round}
        1    0.117    0.117    0.117    0.117 VideoReader.py:9(__init__)
    29569    0.109    0.000    0.109    0.000 {pointPolygonTest}
9155/9101    0.102    0.000    0.106    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    38272    0.093    0.000    0.093    0.000 {built-in method numpy.array}
     2806    0.070    0.000    0.688    0.000 bbox.py:82(<listcomp>)
     8419    0.064    0.000    0.064    0.000 {built-in method numpy.empty}
     4247    0.061    0.000    0.061    0.000 {moments}
    25538    0.059    0.000    0.059    0.000 {contourArea}
    65681    0.058    0.000    0.058    0.000 Point.py:7(__init__)
    21524    0.058    0.000    0.058    0.000 Point.py:38(mag)
     2487    0.056    0.000    0.193    0.000 SecondaryArm.py:52(follow)
    24932    0.049    0.000    0.068    0.000 Point.py:24(__sub__)
     9986    0.042    0.000    0.054    0.000 Point.py:42(vector_angle)
      679    0.040    0.000    0.040    0.000 {built-in method nt.stat}
     8419    0.039    0.000    0.236    0.000 numeric.py:159(ones)
     2487    0.038    0.000    0.609    0.000 Robot.py:102(moveTo)
       21    0.036    0.002    0.038    0.002 {built-in method _imp.create_dynamic}
     2487    0.033    0.000    0.109    0.000 MainArm.py:43(follow)
     2806    0.032    0.000    3.981    0.001 image_sizing.py:34(scale)
     2806    0.029    0.000    0.072    0.000 queue.py:153(get)
     8419    0.027    0.000    0.132    0.000 <__array_function__ internals>:2(copyto)
     4974    0.025    0.000    0.025    0.000 Point.py:98(update)
     2487    0.021    0.000    0.024    0.000 MainTrack.py:35(follow)
    12328    0.020    0.000    0.029    0.000 Point.py:26(__mul__)
     2487    0.020    0.000    0.659    0.000 Robot.py:139(update)
      318    0.019    0.000    0.019    0.000 {built-in method builtins.compile}
     2488    0.018    0.000    0.083    0.000 MainArm.py:30(getOtherPt)
47318/47100    0.016    0.000    0.017    0.000 {built-in method builtins.len}
     5613    0.016    0.000    0.022    0.000 queue.py:91(qsize)
     2807    0.016    0.000    0.023    0.000 threading.py:341(notify)
      139    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
     4975    0.014    0.000    0.060    0.000 SecondaryArm.py:30(refresh)
     4974    0.014    0.000    0.039    0.000 Point.py:40(norm)
