End of video
         707103 function calls (704409 primitive calls) in 95.137 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2807   32.394    0.012   32.394    0.012 {method 'read' of 'cv2.VideoCapture' objects}
     5672   12.540    0.002   12.540    0.002 {method 'copy' of 'numpy.ndarray' objects}
    11224    8.130    0.001    8.130    0.001 {copyMakeBorder}
     5612    7.236    0.001    7.236    0.001 {erode}
     5612    6.705    0.001    6.705    0.001 {dilate}
     2806    3.807    0.001    3.807    0.001 {Canny}
     2806    3.727    0.001    3.727    0.001 {inRange}
        1    3.618    3.618   94.915   94.915 main.py:22(main)
     2806    3.214    0.001    3.214    0.001 {cvtColor}
     2806    2.653    0.001    2.653    0.001 {resize}
     2806    2.367    0.001    2.367    0.001 {findContours}
     2807    2.220    0.001   17.617    0.006 bbox.py:42(preprocess)
     2806    1.769    0.001   39.909    0.014 bbox.py:20(get_bbox)
     2806    1.058    0.000   26.907    0.010 bbox.py:57(gen_mask)
     2806    0.868    0.000    0.868    0.000 {bitwise_not}
    38096    0.584    0.000    0.662    0.000 meat.py:36(step)
    34959    0.572    0.000    0.572    0.000 {convexHull}
     2806    0.212    0.000    7.213    0.003 bbox.py:101(thresh_callback)
    34946    0.117    0.000    0.117    0.000 {pointPolygonTest}
    34598    0.098    0.000    0.098    0.000 {built-in method builtins.round}
    38285    0.078    0.000    0.078    0.000 {built-in method numpy.array}
     2806    0.065    0.000    0.697    0.000 bbox.py:115(<listcomp>)
9155/9101    0.061    0.000    0.064    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    25798    0.060    0.000    0.060    0.000 {contourArea}
    65681    0.052    0.000    0.052    0.000 Point.py:8(__init__)
     4668    0.052    0.000    0.052    0.000 {moments}
    21524    0.048    0.000    0.048    0.000 Point.py:39(mag)
     2487    0.045    0.000    0.162    0.000 SecondaryArm.py:52(follow)
    24932    0.043    0.000    0.061    0.000 Point.py:25(__sub__)
      680    0.038    0.000    0.038    0.000 {built-in method nt.stat}
     9986    0.035    0.000    0.045    0.000 Point.py:43(vector_angle)
        1    0.035    0.035    0.035    0.035 {namedWindow}
     8419    0.033    0.000    0.033    0.000 {built-in method numpy.empty}
       20    0.032    0.002    0.033    0.002 {built-in method _imp.create_dynamic}
     2487    0.030    0.000    0.518    0.000 Robot.py:102(moveTo)
     2487    0.029    0.000    0.095    0.000 MainArm.py:43(follow)
     2806    0.028    0.000    2.690    0.001 image_sizing.py:34(scale)
     8419    0.023    0.000    0.136    0.000 numeric.py:159(ones)
     4974    0.021    0.000    0.021    0.000 Point.py:99(update)
      317    0.020    0.000    0.020    0.000 {built-in method builtins.compile}
     2487    0.019    0.000    0.022    0.000 MainTrack.py:35(follow)
    12328    0.019    0.000    0.027    0.000 Point.py:27(__mul__)
     2487    0.018    0.000    0.562    0.000 Robot.py:139(update)
     8419    0.017    0.000    0.080    0.000 <__array_function__ internals>:2(copyto)
     2488    0.015    0.000    0.067    0.000 MainArm.py:30(getOtherPt)
      139    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
        1    0.013    0.013    0.013    0.013 {destroyAllWindows}
     4974    0.012    0.000    0.035    0.000 Point.py:41(norm)
     4975    0.012    0.000    0.050    0.000 SecondaryArm.py:30(refresh)
39576/39358    0.012    0.000    0.012    0.000 {built-in method builtins.len}
     4974    0.012    0.000    0.012    0.000 Carriage.py:25(refresh)
     2488    0.012    0.000    0.028    0.000 SecondaryArm.py:35(getotherPt1)
        1    0.011    0.011    0.011    0.011 {method 'release' of 'cv2.VideoCapture' objects}
     2488    0.011    0.000    0.025    0.000 SecondaryArm.py:37(getotherPt2)
     4974    0.010    0.000    0.010    0.000 Carriage.py:48(follow)
      141    0.010    0.000    0.010    0.000 {built-in method io.open_code}
      141    0.008    0.000    0.008    0.000 {method 'read' of '_io.BufferedReader' objects}
     2807    0.008    0.000    0.008    0.000 {method 'isOpened' of 'cv2.VideoCapture' objects}
     2487    0.008    0.000    0.082    0.000 SecondaryArm.py:77(moveBase)
     4975    0.007    0.000    0.035    0.000 MainArm.py:27(refresh)
     9983    0.007    0.000    0.007    0.000 {built-in method math.atan}
     4974    0.006    0.000    0.018    0.000 Carriage.py:55(moveBase)
  293/289    0.005    0.000    0.010    0.000 {built-in method builtins.__build_class__}
      135    0.005    0.000    0.012    0.000 meat.py:52(gen_significant_lines)
    11225    0.005    0.000    0.005    0.000 {built-in method time.time}
     2487    0.004    0.000    0.089    0.000 MainArm.py:68(moveBase)
     2488    0.004    0.000    0.006    0.000 MainTrack.py:22(getOtherPt)
     2769    0.004    0.000    0.004    0.000 bbox.py:130(<listcomp>)
     2535    0.004    0.000    0.006    0.000 Point.py:23(__add__)
     2487    0.004    0.000    0.010    0.000 MainTrack.py:50(moveBase)
      141    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:969(get_data)
     7466    0.004    0.000    0.004    0.000 {built-in method math.cos}
      140    0.004    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     8419    0.003    0.000    0.003    0.000 multiarray.py:1043(copyto)
    14932    0.003    0.000    0.003    0.000 {built-in method math.radians}
     7466    0.003    0.000    0.003    0.000 {built-in method math.sin}
      304    0.003    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    185/1    0.003    0.000   95.138   95.138 <frozen importlib._bootstrap>:986(_find_and_load)
    20/15    0.003    0.000    0.014    0.001 {built-in method _imp.exec_dynamic}
     9983    0.003    0.000    0.003    0.000 {built-in method math.degrees}
   116/40    0.002    0.000    0.007    0.000 sre_parse.py:493(_parse)
     4157    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      214    0.002    0.000    0.002    0.000 Point.py:82(moveTo)
      612    0.002    0.000    0.002    0.000 _inspect.py:67(getargs)
       27    0.002    0.000    0.014    0.001 meat.py:12(__init__)
       18    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
     1463    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      741    0.001    0.000    0.001    0.000 {built-in method builtins.min}
    464/1    0.001    0.000   95.133   95.133 {built-in method builtins.exec}
        1    0.001    0.001   95.133   95.133 main.py:1(<module>)
     1463    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      328    0.001    0.000    0.002    0.000 functools.py:33(update_wrapper)
     7084    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       18    0.001    0.000    0.384    0.021 __init__.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method nt.replace}
      280    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      179    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      286    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
      483    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      320    0.001    0.000    0.001    0.000 {built-in method builtins.max}
   205/33    0.001    0.000    0.003    0.000 sre_compile.py:71(_compile)
     2001    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
      483    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      748    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
      373    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      316    0.001    0.000    0.029    0.000 overrides.py:166(decorator)
       24    0.001    0.000    0.003    0.000 Robot.py:117(followPath)
      616    0.001    0.000    0.004    0.000 _inspect.py:98(getargspec)
    174/1    0.001    0.000   95.137   95.137 <frozen importlib._bootstrap>:650(_load_unlocked)
      483    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
       86    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      174    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      221    0.001    0.000    0.001    0.000 meat.py:161(distance)
      165    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
       60    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      281    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
     1701    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
      140    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      716    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x64E9A7D0}
      108    0.001    0.000    0.001    0.000 meat.py:132(find_line_from_points)
     1877    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
    184/1    0.001    0.000   95.138   95.138 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     1345    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
     1688    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1606    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       14    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
   326/12    0.001    0.000    0.187    0.016 {built-in method builtins.__import__}
   202/27    0.001    0.000    0.187    0.007 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       54    0.001    0.000    0.001    0.000 linalg.py:2316(norm)
      273    0.001    0.000    0.003    0.000 function_base.py:460(add_newdoc)
   241/81    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
    140/1    0.001    0.000   95.137   95.137 <frozen importlib._bootstrap_external>:777(exec_module)
     3595    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     1756    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     3211    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      540    0.001    0.000    0.001    0.000 <__array_function__ internals>:2(where)
      160    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      678    0.000    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      419    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        8    0.000    0.000    0.001    0.000 __init__.py:313(namedtuple)
      139    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     1159    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      298    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  174/171    0.000    0.000    0.040    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      215    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
    97/33    0.000    0.000    0.007    0.000 sre_parse.py:435(_parse_sub)
       60    0.000    0.000    0.001    0.000 fromnumeric.py:73(_wrapreduction)
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      143    0.000    0.000    0.013    0.000 re.py:287(_compile)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
        1    0.000    0.000    0.000    0.000 {built-in method nt.open}
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
        1    0.000    0.000    0.014    0.014 numeric.py:1(<module>)
      160    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      300    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:376(cached)
      616    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
      616    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
      395    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
     1177    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      982    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      572    0.000    0.000    0.000    0.000 <string>:1(__new__)
       52    0.000    0.000    0.001    0.000 core.py:900(__init__)
      356    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      355    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
       81    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      325    0.000    0.000    0.000    0.000 functools.py:63(wraps)
     1177    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      619    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
      509    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
       33    0.000    0.000    0.012    0.000 sre_compile.py:759(compile)
      185    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
       36    0.000    0.000    0.000    0.000 meat.py:146(get_center_as_point)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        2    0.000    0.000    0.010    0.005 shape_base.py:1(<module>)
       33    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      321    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
    262/2    0.000    0.000   95.135   47.567 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      139    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       60    0.000    0.000    0.002    0.000 fromnumeric.py:2092(sum)
      273    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
      281    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      140    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        5    0.000    0.000    0.001    0.000 enum.py:129(__new__)
      509    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      415    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       27    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
      165    0.000    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      295    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      273    0.000    0.000    0.001    0.000 function_base.py:446(_add_docstring)
      644    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        4    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
       86    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      428    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
      180    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      110    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      420    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      196    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
        1    0.000    0.000    0.006    0.006 fromnumeric.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      304    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       33    0.000    0.000    0.008    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:120(_write_atomic)
       67    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.004    0.004 defchararray.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2388(extend_all)
       67    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 locale.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        5    0.000    0.000    0.000    0.000 enum.py:171(<setcomp>)
      222    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      272    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      473    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      540    0.000    0.000    0.000    0.000 multiarray.py:312(where)
      216    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       18    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x0C034148}
       60    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(sum)
       84    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
       69    0.000    0.000    0.000    0.000 enum.py:64(__setitem__)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       31    0.000    0.000    0.000    0.000 enum.py:828(__and__)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       67    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
       54    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      267    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.021    0.021 multiarray.py:1(<module>)
       66    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
        1    0.000    0.000    0.013    0.013 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
      110    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
       20    0.000    0.000    0.034    0.002 <frozen importlib._bootstrap_external>:1099(create_module)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
       17    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
    43/30    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       54    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(norm)
       58    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       27    0.000    0.000    0.000    0.000 fromnumeric.py:3130(around)
      372    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.002    0.002 nanfunctions.py:1(<module>)
       91    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      222    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      165    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
        1    0.000    0.000    0.006    0.006 linalg.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
       54    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dot)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
